rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0000-org,male,paris,brey,2602,sydney,03 8523 6120,0895 8698 3469 1090,54468.50,68,87877.5,90,na,72.726
rec-0001-org,male,alessandra,wilkey,2905,melbourne,08 5791 9387,7770 8332 2005 0412,26347.36,113,60365.1,75,na,74.076
rec-0002-org,male,bailee,reid,2606,sydney,04 9795 2541,9217 2693 2775 1666,36779.41,61,92084.4,22,na,80.384
rec-0003-org,male,ruby,denne,2614,melbourne,02 7831 9547,8818 0475 9157 0151,17288.23,47,94941.0,96,f,70.315
rec-0004-org,male,jenna,dixon,2604,sydney,03 1602 8915,3101 0581 7427 3070,25816.02,113,87918.7,79,f,81.105
rec-0005-org,female,yasmin,tremellen,2614,sydney,02 3944 7268,3707 7561 8949 3643,54795.40,49,57309.0,42,m,77.461
rec-0006-dup-0,male,ela,rian,2906,sydnwy,,4512 4523 94884755,71260.40,28,31428.5,91,na,71.775
rec-0006-org,male,ella,ryan,2906,sydney,07 6811 5310,4512 4523 9488 4755,71260.40,28,31428.5,91,na,71.775
rec-0007-dup-0,,aliya,fraenkel,2902,melvbiurne,,0060 7175 8013 1382,59824.97,46,132375.7,54,f,73.570
rec-0007-dup-1,,alvisa,fraengel,2992,melbourne,,0060 7175 8013 1382,59824.97,46,132375.7,45,f,73.570
rec-0007-org,female,alisa,fraenkel,2902,melbourne,03 5112 5500,0060 7175 8013 1382,59824.97,46,132375.7,45,f,73.570
rec-0008-org,female,kirra,coleman,2604,perth,03 3127 9180,4889 8680 8346 0811,9503.94,66,81808.5,31,na,76.508
rec-0009-org,male,danielle,campbell,2605,perth,04 3249 5104,7562 0137 8478 9492,86696.75,45,38015.4,42,f,75.837
rec-0010-org,female,grace,white,2602,brisbane,03 3842 0811,5259 4054 8944 8036,22047.20,111,20753.8,19,f,75.391
rec-0011-org,female,chelsea,webb,2607,perth,04 1718 1142,0633 2056 3012 5778,57983.29,53,58767.5,57,na,79.263
