rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0000-org,male,alice,garcia,2611,sydney,07 3976 6662,1526 4092 6775 8753,26937.72,37,94709.8,84,m,74.473
rec-0001-dup-0,,jena,cokran,2615,melb9urne,04 4518 2305,4179 5144 1501 99894,72411.53,22,126432.7,82,f,73.742
rec-0001-dup-1,,jenna,cochrane,2625,melbourne,,4179 5144 15091 9989,72411.53,22,126432.7,28,f,73.742
rec-0001-dup-2,,jenna,koxrane,261r,melboirne,,4179 5144 1501 9989,72411.53,22,126432.7,82,f,73.742
rec-0001-org,male,jenna,cochrane,2615,melbourne,04 4518 2305,4179 5144 1501 9989,72411.53,22,126432.7,82,f,73.742
rec-0002-org,male,alexa-rose,wisby,2615,melbourne,03 3863 3746,4561 9670 8554 0771,59593.40,54,157181.9,58,f,74.756
rec-0003-org,male,erin,green,2604,sydney,08 7184 3336,8345 3238 5830 5108,79810.89,82,76403.2,67,f,73.237
rec-0004-org,female,julia,tinsley,2617,brisbane,03 6229 5698,6976 3837 4678 2731,44504.73,34,40412.6,94,m,79.076
rec-0005-org,male,alisa,velaitis,2906,melbourne,02 7490 3372,5876 1436 7915 3920,19651.61,18,34383.4,94,na,74.006
rec-0006-org,male,isabella,wisby,2913,perth,03 0427 8504,9725 5671 8048 3459,65261.58,66,24972.3,52,m,77.399
rec-0007-org,male,tarnee,middlin,2611,canberra,02 4567 7972,0970 8873 4511 5741,21000.94,30,75908.8,63,m,77.662
rec-0008-org,male,emiily,egan,2615,perth,07 8691 8105,7003 3605 1946 1193,48787.30,47,105395.6,89,na,79.693
rec-0009-org,female,abbey,alderman,2903,brisbane,07 5810 5097,7592 7740 3963 0303,36471.90,8,66906.9,50,na,72.868
rec-0010-org,male,jasmine,heron,2906,melbourne,07 8720 0082,8092 2491 9656 4324,80033.92,5,58886.4,59,m,72.118
rec-0011-org,male,ruby,phanphengdy,2617,sydney,04 4355 9744,4545 2744 2305 6736,34649.15,93,207102.8,45,f,72.158
rec-0012-org,male,annabelle,hyland,2617,melbourne,04 6399 3445,0065 1728 8178 9536,43679.58,73,68023.7,86,na,67.744
rec-0013-org,female,lushia,white,2615,sydney,02 6948 0891,8750 7695 9951 5479,38223.03,50,53041.2,32,na,77.848
rec-0014-org,male,bethany,bristow,2602,melbourne,07 3789 7345,3112 3103 0144 7604,40644.79,32,63335.7,100,m,74.813
rec-0015-org,female,isabella,papageorgiou,2615,perth,08 1191 7178,0305 6900 5373 4042,54420.10,67,120838.3,62,f,77.987
rec-0016-org,male,montana,mahony,2905,sydney,03 5381 9004,0551 9436 4708 1615,49959.72,19,175796.1,41,f,77.872
rec-0017-org,female,zoe,dumsa,2914,brisbane,02 8847 2989,8745 1699 8000 1193,33680.66,7,135317.9,63,na,74.000
rec-0018-org,male,sarah,reid,2615,sydney,08 6779 2532,4524 3117 2675 8721,70847.41,38,55242.5,67,m,71.373
rec-0019-org,female,erin,howie,2602,sydney,03 4142 5870,9238 5736 3072 1527,78263.03,102,20948.8,95,f,78.076
rec-0020-org,male,olivia,dichiera,2617,melbourne,07 6340 7054,1546 8634 4318 1393,51312.82,115,87697.8,57,na,76.523
rec-0021-org,female,nikki,blowes,2606,perth,08 4747 8597,0252 8977 9373 2962,50935.47,23,26592.3,63,f,75.666
rec-0022-org,female,georgia,ryan,2617,melbourne,03 1632 8239,7540 6232 5597 5611,42884.89,56,51911.6,42,m,71.906
rec-0023-org,female,harriet,stubbs,2605,sydney,02 8923 2766,1596 6901 5030 0798,80686.07,112,66425.6,30,m,67.313
rec-0024-org,male,holly,clarke,2904,melbourne,07 2297 3765,1356 0966 2664 4113,55569.24,108,80994.5,75,m,80.862
rec-0025-org,male,alivia,coulton,2906,melbourne,03 1421 1169,1103 1329 6333 5305,15689.59,88,329741.7,24,f,76.498
rec-0026-org,male,olivia,nguyen,2603,melbourne,04 3111 4967,9555 9503 9638 1613,39801.15,52,60331.9,81,f,76.283
rec-0027-org,male,monique,jeffries,2602,canberra,03 0555 2632,4547 9773 0299 8019,45781.31,20,81186.3,76,m,75.515
rec-0028-org,female,trinity,morrison,2602,sydney,08 0706 6026,8807 9083 6935 1500,62137.23,35,238814.0,16,f,74.085
rec-0029-org,male,emma,crouch,2612,sydney,07 6969 9237,9443 1611 4822 4728,33889.90,95,97555.1,67,na,71.924
rec-0030-org,female,madeline,dews,2617,canberra,04 2025 2793,4889 7449 9698 6022,31245.71,86,181146.7,98,f,77.920
rec-0031-org,male,katelyn,gilbertson,2607,sydney,07 2994 6720,6865 8272 9965 6855,33713.67,49,82474.3,43,na,76.326
rec-0032-org,female,april,ticknell,2913,brisbane,04 4042 6524,8541 6737 6944 2425,73726.82,4,90721.0,95,f,74.677
rec-0033-org,male,rachel,brock,2604,melbourne,08 4419 5068,5782 2782 9473 8253,36753.84,103,10798.7,22,f,76.637
rec-0034-org,male,amber,koppan,2604,melbourne,03 2523 8187,5702 5142 5798 4766,28847.05,113,68464.5,107,f,74.558
rec-0035-org,male,breony,mcclarty,2906,perth,03 3966 2548,8671 9818 6289 1719,55730.59,47,163286.6,103,f,66.699
rec-0036-org,male,kiandra,bishop,2615,melbourne,03 1120 5927,8254 2779 9308 7767,39317.29,108,53188.3,35,na,80.236
rec-0037-org,male,logan,tao,2600,melbourne,03 3851 3476,2379 8565 4882 7939,41325.55,25,26534.4,21,na,73.057
rec-0038-org,male,caitlin,white,2914,sydney,08 0847 3941,0737 7497 9540 1316,88023.74,59,75339.9,60,f,77.388
rec-0039-org,male,tara,hingston,2611,perth,07 7171 0663,0765 8190 7859 2038,53711.10,81,100784.5,70,na,69.088
rec-0040-org,male,emiily,crooke,2601,perth,07 2997 6172,4673 5752 1074 5368,21537.05,109,42589.5,60,m,81.156
rec-0041-org,female,chloe,block,2913,brisbane,04 0423 5609,0410 9012 8581 1023,73574.96,73,42649.5,22,f,71.847
rec-0042-org,male,finn,webb,2913,canberra,07 8704 7536,3085 6447 4507 4029,28547.68,48,37439.5,92,f,81.903
rec-0043-org,female,bronte,paterson,2614,canberra,08 9168 7076,5317 5878 8215 8029,11131.64,52,79900.0,78,m,74.489
rec-0044-org,female,victoria,shadbolt,2905,perth,04 1955 3607,8473 0569 1202 9788,80487.88,10,213895.0,63,f,76.250
rec-0045-org,male,madeleine,alves,2902,melbourne,02 5803 6939,2965 4850 2511 1212,83490.97,104,41983.2,57,na,79.427
rec-0046-org,male,lucy,beadle,2617,sydney,02 1083 3334,0556 7294 0742 6443,58385.05,81,27754.0,25,m,76.367
rec-0047-org,female,abii,chandler,2615,perth,08 7528 1835,9238 0567 7461 3124,56726.57,108,94318.8,94,na,75.564
rec-0048-org,male,abby,hoffman,2605,perth,07 4187 2450,4980 9356 9387 8935,39025.85,110,56602.6,87,na,79.985
rec-0049-org,male,charlotte,browne,2902,canberra,02 9541 7982,8452 8102 5241 1979,44403.66,12,41467.3,51,m,70.701
rec-0050-org,male,marleigh,coleman,2913,canberra,04 2311 6065,0763 3560 5650 5578,80679.42,73,31195.5,58,m,76.592
rec-0051-dup-0,,starab,kuaririo,2902,brisbane,03 2867 8172,3704 85748 1864 0754,63311.31,92,27266.7,34,na,72.447
rec-0051-org,female,sarah,guarino,2902,brisbane,03 2867 8172,3704 8748 1864 0754,63311.31,92,27266.7,43,na,72.447
rec-0052-org,female,lauren,corocoran,2905,brisbane,02 3291 8765,0031 5002 5576 3342,46298.52,38,55716.2,70,f,78.680
rec-0053-org,male,emma,selth,2603,melbourne,03 1694 4033,0908 1830 6693 7522,67261.99,31,83472.5,33,m,74.215
rec-0054-org,female,emiily,schuster,2607,melbourne,07 0167 3620,5146 7202 8014 6344,61752.40,81,129255.4,42,f,72.302
rec-0055-org,male,tara,white,2913,sydney,08 5149 9180,9352 1204 4281 5286,49297.71,38,218801.0,45,f,74.774
rec-0056-org,female,adele,gaskin,2906,brisbane,08 6306 5373,7445 3944 2153 1198,58386.69,19,214155.7,86,f,73.557
rec-0057-org,male,shai,carmody,2906,melbourne,04 1521 3964,2977 2053 6908 6933,40904.58,53,31004.5,50,na,77.422
rec-0058-org,male,natasha,waller,2902,perth,04 4956 6790,0754 5156 1523 1969,67331.64,59,49522.3,72,na,77.469
rec-0059-org,male,ellie,matthews,2913,melbourne,07 8265 3966,8557 5014 4760 8952,28806.14,46,28644.9,67,m,76.244
rec-0060-org,female,tiarna,humphreys,2617,brisbane,04 6683 9420,7863 0018 0679 0865,39475.84,8,88839.8,67,na,72.766
rec-0061-org,female,natalia,lydon,2905,melbourne,07 8245 8613,2197 9989 6884 2272,64540.33,18,45746.0,69,na,78.700
rec-0062-org,female,emiily,mccarthy,2614,sydney,02 4252 3043,8306 8783 4391 0246,56391.13,113,76774.2,24,m,71.681
rec-0063-org,male,giorgia,webb,2906,canberra,07 6474 7756,9653 6758 6240 2741,45132.56,20,29637.9,86,m,72.010
rec-0064-org,male,claudia,campbell,2614,melbourne,07 6263 2749,2122 9731 4609 0212,55102.12,113,87773.2,31,f,78.766
rec-0065-org,male,natalee,hemmings,2905,sydney,03 8147 0408,5773 4052 3427 9907,55514.38,103,48605.0,94,f,79.934
rec-0066-org,female,kiarnee,lowry,2905,brisbane,04 1047 3347,4317 6620 4542 3653,28837.17,12,69128.4,26,na,79.031
rec-0067-org,female,sarah,kovacic,2607,sydney,08 2840 9237,0647 3928 0929 3606,52044.71,56,45226.0,73,m,79.227
rec-0068-org,male,kiara,koulianos,2615,melbourne,02 3559 5188,8603 6727 1496 0529,30975.87,83,50668.2,77,m,71.299
rec-0069-org,male,shelby,menzies,2615,perth,08 3849 2268,2524 2459 3279 6576,27943.37,7,80051.2,73,na,66.254
rec-0070-org,male,isabella,carie,2600,perth,03 2055 3213,6903 1084 7068 9068,62941.01,50,99901.8,33,m,75.762
rec-0071-org,male,hannah,bishop,2906,perth,03 5926 5024,1363 0520 8085 8883,70544.28,28,97051.4,61,f,78.174
rec-0072-org,female,chloe,white,2904,brisbane,03 8855 5225,6450 1615 2294 6165,19663.79,104,92386.1,81,m,80.213
rec-0073-org,male,seanna,liersch,2611,melbourne,02 3447 2554,0877 5365 6904 1235,67998.59,61,92819.9,96,m,73.119
rec-0074-org,male,ayla,hoffman,2611,canberra,04 3715 4483,3336 6124 8857 4157,38669.29,98,21325.0,68,f,72.659
rec-0075-org,male,aimee,reece,2602,melbourne,03 3018 3781,4350 4911 6237 5914,55756.20,81,35410.0,94,f,73.166
rec-0076-org,female,charlotte,snell,2906,sydney,07 6495 3100,6425 3051 9791 9444,76378.52,108,39346.0,100,na,75.782
rec-0077-org,female,mikaela,bishop,2614,melbourne,07 7495 6277,3015 4655 2845 1681,14068.72,55,74939.3,88,m,72.108
rec-0078-org,male,grace,brokenshire,2615,melbourne,08 5214 9290,3904 3293 2647 1202,52411.48,86,95265.2,43,f,77.914
rec-0079-org,male,kayla,westbrook,2617,sydney,04 5570 7141,5360 7494 0325 7263,82955.81,21,62823.4,82,na,74.970
rec-0080-org,male,kaitlin,hanna,2905,melbourne,04 8217 7162,4720 0639 2068 6848,32003.68,44,39189.4,62,f,69.744
rec-0081-org,female,ebony,emmanuel,2617,melbourne,02 7728 3095,1122 1635 8037 0836,61397.88,52,201890.1,99,f,80.537
